lat	long	x	y
24, 54,  205, 4637
24, 55,  840, 4649
24, 56, 1476, 4656
24, 57, 2111, 4659
24, 58, 2748, 4655
25, 54,  219, 3945
25, 55,  851, 3957
25, 56, 1481, 3963
25, 57, 2112, 3966
25, 58, 2743, 3965
26, 54,  235, 3252
26, 55,  861, 3265
26, 56, 1486, 3271
26, 57, 2111, 3273
26, 58, 2738, 3272
27, 54,  251, 2559
27, 55,  871, 2571
27, 56, 1491, 2579
27, 57, 2112, 2582
27, 58, 2732, 2579
28, 54,  267, 1865
28, 55,  882, 1879
28, 56, 1497, 1886
28, 57, 2112, 1890
28, 58, 2725, 1887
29, 54,  285, 1174
29, 55,  894, 1187
29, 56, 1503, 1194
29, 57, 2112, 1196
29, 58, 2720, 1194
30, 54,  303,  481
30, 55,  905,  494
30, 56, 1508,  503
30, 57, 2111,  505
30, 58, 2713,  501
