lat	long	x	y
31, 32,  862, 5960
31, 33, 1452, 5999
31, 34, 2050, 6029
31, 35, 2656, 6048
31, 36, 3249, 6072
31, 37, 3841, 6086
31, 38, 4448, 6088
31, 39, 5037, 6097
31, 40, 5633, 6093
32, 32,  907, 5263
32, 33, 1494, 5312
32, 34, 2086, 5350
32, 35, 2680, 5363
32, 36, 3273, 5379
32, 37, 3862, 5397
32, 38, 4454, 5405
32, 39, 5043, 5399
32, 40, 5635, 5403
33, 32,  953, 4566
33, 33, 1534, 4605
33, 34, 2117, 4640
33, 35, 2704, 4662
33, 36, 3293, 4680
33, 37, 3874, 4693
33, 38, 4457, 4700
33, 39, 5044, 4703
33, 40, 5629, 4701
34, 32, 1000, 3875
34, 33, 1573, 3912
34, 34, 2151, 3943
34, 35, 2731, 3967
34, 36, 3313, 3985
34, 37, 3886, 3999
34, 38, 4464, 4008
34, 39, 5044, 4012
34, 40, 5624, 4008
35, 32, 1049, 3180
35, 33, 1616, 3215
35, 34, 2184, 3244
35, 35, 2759, 3270
35, 36, 3335, 3290
35, 37, 3901, 3305
35, 38, 4471, 3315
35, 39, 5044, 3320
35, 40, 5616, 3316
36, 32, 1098, 2485
36, 33, 1662, 2520
36, 34, 2226, 2554
36, 35, 2790, 2580
36, 36, 3356, 2600
36, 37, 3916, 2613
36, 38, 4478, 2623
36, 39, 5043, 2627
36, 40, 5610, 2622
37, 32, 1150, 1788
37, 33, 1709, 1826
37, 34, 2267, 1858
37, 35, 2821, 1885
37, 36, 3375, 1906
37, 37, 3931, 1920
37, 38, 4487, 1929
37, 39, 5044, 1931
37, 40, 5604, 1929
38, 32, 1200, 1095
38, 33, 1753, 1132
38, 34, 2303, 1166
38, 35, 2850, 1192
38, 36, 3398, 1213
38, 37, 3943, 1227
38, 38, 4493, 1236
38, 39, 5043, 1240
38, 40, 5596, 1236
